Instance Type,Version,Edition,VCPU,Memory,Bandwidth,IOPS,Throughput,Maxthroughput,Size,Class,GP3,IO1,RDSCustom,Current,Ratio,instancetype,Nitro
db.m5.12xlarge ,12,EE,48,192,9500,40000,1188,1000,12xlarge,m5,16000,40000,Y,Y,4,G,Y
db.m5.12xlarge ,12,SE,48,192,9500,40000,1188,1000,12xlarge,m5,16000,40000,Y,Y,4,G,Y
db.m5.12xlarge ,13,EE,48,192,9500,40000,1188,1000,12xlarge,m5,16000,40000,Y,Y,4,G,Y
db.m5.12xlarge ,13,SE,48,192,9500,40000,1188,1000,12xlarge,m5,16000,40000,Y,Y,4,G,Y
db.m5.12xlarge ,14,EE,48,192,9500,40000,1188,1000,12xlarge,m5,16000,40000,Y,Y,4,G,Y
db.m5.12xlarge ,14,SE,48,192,9500,40000,1188,1000,12xlarge,m5,16000,40000,Y,Y,4,G,Y
db.m5.12xlarge ,15,EE,48,192,9500,40000,1188,1000,12xlarge,m5,16000,40000,Y,Y,4,G,Y
db.m5.12xlarge ,15,SE,48,192,9500,40000,1188,1000,12xlarge,m5,16000,40000,Y,Y,4,G,Y
db.m5.12xlarge ,16,EE,48,192,9500,40000,1188,1000,12xlarge,m5,16000,40000,Y,Y,4,G,Y
db.m5.12xlarge ,16,SE,48,192,9500,40000,1188,1000,12xlarge,m5,16000,40000,Y,Y,4,G,Y
db.m5.16xlarge ,12,EE,64,256,13600,60000,1700,1000,16xlarge,m5,16000,60000,Y,Y,4,G,Y
db.m5.16xlarge ,12,SE,64,256,13600,60000,1700,1000,16xlarge,m5,16000,60000,Y,Y,4,G,Y
db.m5.16xlarge ,13,EE,64,256,13600,60000,1700,1000,16xlarge,m5,16000,60000,Y,Y,4,G,Y
db.m5.16xlarge ,13,SE,64,256,13600,60000,1700,1000,16xlarge,m5,16000,60000,Y,Y,4,G,Y
db.m5.16xlarge ,14,EE,64,256,13600,60000,1700,1000,16xlarge,m5,16000,60000,Y,Y,4,G,Y
db.m5.16xlarge ,14,SE,64,256,13600,60000,1700,1000,16xlarge,m5,16000,60000,Y,Y,4,G,Y
db.m5.16xlarge ,15,EE,64,256,13600,60000,1700,1000,16xlarge,m5,16000,60000,Y,Y,4,G,Y
db.m5.16xlarge ,15,SE,64,256,13600,60000,1700,1000,16xlarge,m5,16000,60000,Y,Y,4,G,Y
db.m5.16xlarge ,16,EE,64,256,13600,60000,1700,1000,16xlarge,m5,16000,60000,Y,Y,4,G,Y
db.m5.16xlarge ,16,SE,64,256,13600,60000,1700,1000,16xlarge,m5,16000,60000,Y,Y,4,G,Y
db.m5.24xlarge ,12,EE,96,384,19000,80000,2375,1000,24xlarge,m5,16000,64000,Y,Y,4,G,Y
